setting,subsetting,avg_potential_buses,avg_buses_optimal,num_infeasible_solves,num_timelimit_solves,avg_solve_time_seconds,avg_gap_timelimit_percent
NO_CAPACITY_CONSTRAINT,ALL_LINES,55.0,23.17,0,0,0.69,NaN
NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,55.0,9.83,0,0,0.01,NaN
NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,55.0,8.0,0,0,0.02,NaN
CAPACITY_CONSTRAINT,ALL_LINES,110.0,0.0,0,6,3958.95,NaN
CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,110.0,0.0,0,6,3601.49,NaN
CAPACITY_CONSTRAINT,ONLY_DEMAND,110.0,5.5,0,4,2955.38,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES,102.0,0.0,6,0,4.33,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES_WITH_DEMAND,102.0,26.0,0,1,767.83,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,102.0,17.5,0,0,51.62,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES,17.0,0.0,6,0,0.1,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES_WITH_DEMAND,17.0,0.0,6,0,0.04,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,17.0,0.0,6,0,0.05,NaN
